Outlet,Address,Postcode,Sub area,Area,State,Location category,Location description,Other remarks
Rong Cuisine (榕城佛跳墙),"GF(W)17-19, Quayside Mall, Gamuda Kemuning 25.7, 42500 Telok Panglima Garang, Selangor",42500,Quayside Mall,Telok Panglima Garang,Selangor,Food & Beverage,Outdoor seating,None
Bimba II Cafe,"GF-8, Pusat Perniagaan Amber, 25.7, Persiaran Oleander, Bandar Rimbayu, 42500, Selangor",42500,Bandar Rimbayu,Telok Panglima Garang,Selangor,Food & Beverage,Indoor seating,Only cats allowed
FURIIStyle - Premium Pet Care Center (Twentyfive.7),"Oleander, Lot 1, The Buzzar Twentyfive.7 Sales Property Gallery Lot 43495, Persiaran, 42500, Selangor",42500,twentyfive7,Telok Panglima Garang,Selangor,Grooming,,None
Wong Gu Ma Restaurant (黄姑妈),"No 21-G, Jalan Flora 1/4, Bandar Rimbayu, 42500 Telok Panglima Garang, Selangor",42500,Bandar Rimbayu,Telok Panglima Garang,Selangor,Food & Beverage,Indoor seating,Small breeds only
(肥烈刹肉汤）Restoran Pui Lek,"Jalan Jambu Mawar 1, Taman Sri Jarom, 42600 Jenjarom, Selangor",42600,Jenjarom,Jenjarom,Selangor,Food & Beverage,Indoor seating,None
Fo Guang Shan Dong Zen Temple,"PT2297, Jalan Sungai Buaya, Taman Melati, 42600 Jenjarom, Selangor",42600,Jenjarom,Jenjarom,Selangor,Attraction,None,Diapers 
Bukit Jugra,"Jugra, 42700 Banting, Selangor",42700,Jugra,Banting,Selangor,Hiking,,None
Morib Coconut Grove Banting,"149, Jalan Morib Jalan Sekolah Ugama, Kg Kanchong Laut, 42700, 42700 Banting, Selangor",42700,Tanjong Sepat,Tanjong Sepat,Selangor,Pet friendly stay,,None
Pantai Kampung Endah,"Kampung Endah, 42700 Banting, Selangor",42700,Tanjong Sepat,Tanjong Sepat,Selangor,Beach,,Location: Golden Sea Restaurant - restaurant is not pet friendly
Ganofarm Leisure & Homestay,"700, Jalan Laut Membiru, Taman Pelangi, 42800 Tanjong Sepat, Selangor",42800,Tanjong Sepat,Tanjong Sepat,Selangor,Pet friendly stay,,None
Harboside Restaurant （乡村港边刹肉）,"Pekan Tanjung Sepat, 42800 Tanjong Sepat, Selangor",42800,Tanjong Sepat,Tanjong Sepat,Selangor,Food & Beverage,Indoor seating,None
Kwo Zha B Coffee 古早味咖啡粉,"No. 15, Medan Selera, Lorong 3, 42800 Tanjong Sepat, Selangor",42800,Tanjong Sepat,Tanjong Sepat,Selangor,Food & Beverage,Indoor seating,Only when not many customers and small breeds only
Restaurant Fish Village,"21, Jalan Senangin 1, Taman Tanjung, 42800 Tanjong Sepat, Selangor",42800,Tanjong Sepat,Tanjong Sepat,Selangor,Food & Beverage,Indoor seating,None
Tanjung Sepat Ocean Seafood Restaurant （海洋海鲜餐馆）,"No. 522, Lorong 2, Jalan, 3, Pekan Tanjung Sepat, 42800 Tanjong Sepat, Selangor",42800,Tanjong Sepat,Tanjong Sepat,Selangor,Food & Beverage,Indoor seating,None
Yikee Seafood Bak Kut Teh,"No.5, 7 & 9, Pusat Perniagaan Tanjong, Lorong Pasar 1, Jalan Besar, 42800 Tanjong Sepat, Selangor",42800,Tanjong Sepat,Tanjong Sepat,Selangor,Food & Beverage,Indoor seating,None
Restoran Kia Hiong Haun 佳香园,"A, 3, Jalan Besar, 42940 Pulau Ketam, Selangor",42940,Pulau Ketam,Klang,Selangor,Food & Beverage,Outdoor seating,None
BGC Cafe 大啡猫,"Dataran Jade, 39-1, Jln Dataran Jade 4, Jade Hills, 43000 Kajang, Selangor",43000,Jade Hills,Kajang,Selangor,Food & Beverage,Outdoor seating,None
Kedai Makanan Wan Fatt 万发海鲜饭店,"Temple Bangunan Tin Hong See, Jalan Mendaling, Bandar Kajang, 43000 Kajang, Selangor",43000,Bandar Kajang,Kajang,Selangor,Food & Beverage,Outdoor seating,None
萧家辣汤 Restaurant Siaw Kah,"17G, Jalan Kajang Indah 1, Taman Kajang Indah, 43000 Kajang, Selangor",43000,Taman Kajang Indah,Kajang,Selangor,Food & Beverage,Outdoor seating,None
Nyonya Kopitiam - Sungai Chua,"275, Jalan Berjaya 9, Sungai Chua, 43000 Kajang, Selangor",43000,Sungai Chua,Kajang,Selangor,Food & Beverage,Indoor seating,None
Origami Park,"Persiaran Jade Hills Utama, Jade Hills, 43000 Kajang, Selangor",43000,Jade Hills,Kajang,Selangor,Park,,None
"唐人街美食坊, Jade Hills","25-1 & 27-1, Jalan Dataran Jade 1, Jade Square, Jade Hills, 43000 Kajang, Selangor",43000,Jade Hills,Kajang,Selangor,Food & Beverage,Outdoor seating,None
阿六辣汤Restoran AhLiu Spicy Soup,"Jalan Dataran Jade 1, Jade Hills, 43000 Kajang, Selangor",43000,Jade Hills,Kajang,Selangor,Food & Beverage,Outdoor seating,None
Souled Garden Restaurant & Bar Taman Equine,"No. 25, Jalan Equine 9, Taman Equine, Pusat Bandar Putra Permai, 43000 Seri Kembangan, Selangor",43000,Taman Equine,Seri Kembangan,Selangor,Food & Beverage,Outdoor seating,None
Hacienda Hermosa,"Jalan Sungai Lui, 43100 Hulu Langat, Selangor",43100,Hulu Langat,Hulu Langat,Selangor,Camping,None,None
Rimba Bikerz Campsite,"43100 Hulu Langat, Selangor",43100,Hulu Langat,Hulu Langat,Selangor,Camping,None,None
Sea of clouds Hulu Langat.云海营,"43100 Hulu Langat, Selangor",43100,Hulu Langat,Hulu Langat,Selangor,Camping,None,None
Water View Thai Restaurant 中泰式水上餐厅,"1625, Jalan Sungai Tekali, 43100 Hulu Langat, Selangor",43100,Hulu Langat,Hulu Langat,Selangor,Food & Beverage,Outdoor seating,None
"Bbq Golmok C180, Cheras","A-1-G, Jalan C180/1, Dataran C180, 43200 Cheras, Selangor",43200,Balakong,Cheras,Selangor,Food & Beverage,Outdoor seating,None
Nine percent cafe,"No:16G, Jalan Temenggung25/9, Bandar Mahkota Cheras, 43200 Cheras, Selangor",43200,Mahkota Cheras,Cheras,Selangor,Food & Beverage,Outdoor seating,None
Don Dwae Ji Sam Gyeob Sal (BBQ Buffet),"D-60-UG, Jalan C180/1, 43200 Cheras, Selangor",43200,Balakong,Cheras,Selangor,Food & Beverage,Outdoor seating,None
Restoran Yuan's Hainanese & Western,"No. 19 & 21, Jalan Temenggung 23/9, Bandar Mahkota Cheras, 43200 Cheras, Selangor",43200,Mahkota Cheras,Cheras,Selangor,Food & Beverage,Outdoor seating,None
SK Group Food & Beverage Sdn Bhd,"69, Jalan Temenggung 3/9, Bandar Mahkota Cheras, 43200 Cheras, Selangor",43200,Mahkota Cheras,Cheras,Selangor,Food & Beverage,Outdoor seating,None
品香肉骨茶专卖店Banheongbakkutteh,"15g, Jalan Temenggung 29/9, Bandar Mahkota Cheras, 43200 Kajang, Selangor",43200,Mahkota Cheras,Cheras,Selangor,Food & Beverage,Outdoor seating,None
Cha Se Yan Yu,"133G, Jalan Dataran Cheras 8 Dataran Perniagaan Cheras Balakong, Balakong, 43200 Cheras, Selangor",43200,Balakong,Cheras,Selangor,Food & Beverage,Indoor seating,Carrier / Stroller
Chiru Cheras / Chic Cafe,"117, Jalan Dataran Cheras 8, 43200 Cheras, Selangor",43200,Balakong,Cheras,Selangor,Food & Beverage,Indoor seating,Carrier / Stroller
Secret Loc Cafe,"No.1-G, Jalan Tengah Cheras Selatan 118, 43200 Cheras, Selangor",43200,Balakong,Cheras,Selangor,Food & Beverage,Outdoor seating,None
南洋冰室 NANYANG CAFE @ CTS,"MY Selangor Kajang Cheras Balakong, 20-G, Jalan Dataran Cheras 2, Cheras Traders Square43200",43200,Balakong,Cheras,Selangor,Food & Beverage,Outdoor seating,None
Bamboo Village Kuala Lumpur,"Jalan Desa Pelangi, 43200 Hulu Langat, Selangor",43200,Hulu Langat,Hulu Langat,Selangor,Pet friendly stay; Camping,None,None
Sungai Long Hill,"Persiaran SL 7a, 43200 Kajang, Selangor",43200,Sungai Long,Kajang,Selangor,Hiking,,None
Tea X Hub,"6, Jalan CJ 1/2, Kawasan Perindustrian Cheras Jaya, 43200 Seri Kembangan, Selangor",43200,Seri Kembangan,Seri Kembangan,Selangor,Food & Beverage,Outdoor seating,None
Bili Bili Garden Bar,"Lot 33126, Kampung Baru Balakong, 43300 Balakong, Selangor",43300,Balakong,Cheras,Selangor,Food & Beverage,Outdoor seating,None
Day 9 Kitchen Cafe 明明,"3-1, Jalan Equine 10B, Taman Equine, 43300 Seri Kembangan, Selangor",43300,Taman Equine,Seri Kembangan,Selangor,Food & Beverage,Outdoor seating,None
Meet me restaurant,"A-G-12 & A-G-13 , jalan 14/2 taman perindustrian bukit serdang, Taman Bukit Serdang, 43300 Seri Kembangan, Selangor",43300,Taman Bukit Serdang,Seri Kembangan,Selangor,Food & Beverage,Outdoor seating,None
Croutons Cafe By Gourmet Seductions,"23, Jalan Dagang SB 4/3, Taman Sungai Besi Indah, 43300 Seri Kembangan, Selangor",43300,Seri Kembangan,Seri Kembangan,Selangor,Food & Beverage,Indoor seating; Outdoor seating,Carrier / Stroller
Furrito Haus Cafe & Pet Mart,"27, Jalan Equine 10, Taman Equine, 43300 Seri Kembangan, Selangor",43300,Taman Equine,Seri Kembangan,Selangor,Food & Beverage,Indoor seating,None
Kam Yat Restaurant 金壹私房菜,"21, Jalan PSK 6, Pusat Perdagangan Seri Kembangan, 43300 Seri Kembangan, Selangor",43300,Seri Kembangan,Seri Kembangan,Selangor,Food & Beverage,Indoor seating,Carrier / Stroller
品串客栈,"No.13-1, Dataran Mutiara, Jalan 7/4, Taman Serdang Jaya, 43300 Seri Kembangan, Selangor.",43300,Seri Kembangan,Seri Kembangan,Selangor,Food & Beverage,Indoor seating,Upstairs
晶美点心 Jing Mei Dim Sum,"31, Jalan PSK 6, Pusat Perdagangan Seri Kembangan, 43300 Seri Kembangan, Selangor",43300,Seri Kembangan,Seri Kembangan,Selangor,Food & Beverage,Indoor seating,None
男朋友餐厅 花胶美颜火锅&点心冰室 Restoran Nan Peng You,"3, Jalan Mawar, Seksyen 10, Taman Perindustrian Bukit Serdang, 43300 Seri Kembangan, Selangor",43300,Serdang,Seri Kembangan,Selangor,Food & Beverage,Indoor seating; Outdoor seating,None
品优亭 EQUINE,"1-1, Jln Equine 1E, Taman Equine, 43300 Seri Kembangan, Selangor",43300,Taman Equine,Seri Kembangan,Selangor,Food & Beverage,Outdoor seating,Upstairs
Herbaland Seafood Restaurant,"LOT 5371 (CRYT B2 A9, Jalan Broga, BROGA HILL, 43500 Semenyih, Selangor",43500,Broga,Semenyih,Selangor,Food & Beverage,Outdoor seating,None
Asli Farm Resort,"Lot1356, Stor Kampung Orang Asli Ulu Semenyih, 43500, Selangor",43500,Broga,Semenyih,Selangor,Camping,,None
Cibabond,"12-2, Jalan Eco Forest 6/1c, Eco Forest Semenyih, 43500 Selangor, Semenyih, Malaysia",43500,Broga,Semenyih,Selangor,Activity,,Art & craft
Ostrich Wonderland Semenyih,"Lot, 485, Jalan Sungai Lalang, 43500 Semenyih, Selangor",43500,Broga,Semenyih,Selangor,Attraction,,None
Restoran Kari Ikan Liew,"Jalan Broga, 43500 Semenyih, Selangor",43500,Broga,Semenyih,Selangor,Food & Beverage,Outdoor seating,None
Semenyih Fish Valley Restaurant,"Sri Haneco Industrial Park, Jalan Kachau Jalan Kachau PT, 16367 Semenyih, Selangor",43500,Broga,Semenyih,Selangor,Food & Beverage,Outdoor seating,None
疯烧 Feng Shao,"1, Jalan Hiew Piow 6, Taman Hiew Piow, 43500 Semenyih, Selangor",43500,Broga,Semenyih,Selangor,Food & Beverage,Outdoor seating,None
日夜香咖啡店 Sun & Moon Coffee Shop,"Lot 442 SEKSYEN 1 ,JALAN PASAR 43950 ,SLEANGOR, Sungai Pelek, SUNGAI PELEK, 43950 Sungai Pelek, Selangor",43950,Sungai Pelek,Sungai Pelek,Selangor,Food & Beverage,Outdoor seating,None
Campenture @ Kerling,"JJ86+CQ, 44000 Kerling, Selangor",44000,Kerling,Hulu Selangor,Selangor,Camping,,None
Kuala Kubu Baru Wind Valley Camping Site 新古毛风之谷露营地,"KKB Wind Valley, 44000 Kuala Kubu Bharu, Selangor",44000,Kuala Kubu Baru,Hulu Selangor,Selangor,Camping,,None
Kerling Happy Farm Home,"JJ64+5R, 44000 Kerling, Selangor",44000,Kerling,Kerling,Selangor,Camping,,None
Kedai Makan Kheng Yuen Lee,"1919, Jalan Gap-Bukit Fraser, Bukit Fraser, 44000 Kuala Kubu Baru, Selangor",44000,Fraser's Hill,Kuala Kubu Baru,Selangor,Food & Beverage,Outdoor seating,None
Summer Summer Farm,"Lot 1768, Kampung Hulu Rening, 44200 Mukim Rasa, Selangor",44200,Rasa,Hulu Selangor,Selangor,Camping,,None
333 Kopitiam,"No. 55, Jalan Besar, Hulu Yam Bharu, 44300 Batang Kali, Selangor",44300,Ulu Yam,Batang Kali,Selangor,Food & Beverage,Outdoor seating,None
Hock Choon Kee Coffee Shop & Restaurant,"Hulu Yam Lama, 44300, Selangor",44300,Ulu Yam,Batang Kali,Selangor,Food & Beverage,Outdoor seating,None
2K Hotspring campsite,"Ulu Kalong, 2K Hotspring campsite, Ladang Bundora, Jalan, Jalan Kampung Ulu Kalong, Hulu Yam Bharu, 44300 Batang Kali, Selangor",44300,Ulu Yam,Batang Kali,Selangor,Camping,,None
Abah Legacy Sendat Camp,"Jalan Kampung Orang Asli Kampung Gurney, Kampung Orang Asli Gurney, 44300 Ulu Yam, Selangor, Malaysia, Ulu Yam Baharu, Malaysia",44300,Ulu Yam,Batang Kali,Selangor,Camping,,Call in advance
Hoho Farm,"29, Jalan Patin 2, Taman Desa Patin, 44300 Batang Kali, Selangor",44300,Ulu Yam,Batang Kali,Selangor,Pet friendly stay,,None
World of Phalaenopsis | Ulu Yam,"1017, Jalan Batang Kali - Hulu Yam Bharu, Kampung Sungai Kamin, 44300 Batang Kali, Selangor",44300,Ulu Yam,Batang Kali,Selangor,Attraction,,Call in advance
Kebun Cafe,"29, Jalan Patin 2, Taman Patin, Hulu Yam Lama, 44300 Batang Kali, Selangor",44300,Ulu Yam,Batang Kali,Selangor,Food & Beverage,Outdoor seating,None
Swee Yen Restaurant,"No. 38 Jalan Besar, Hulu Yam Lama, 44300 Batang Kali, Selangor",44300,Ulu Yam,Batang Kali,Selangor,Food & Beverage,Outdoor seating,None
Kedai Makanan Laut Hai Ung 海运海鲜楼,"A4, bagan sungai Yu, Pasir Penambang, 45000 Kuala Selangor, Selangor",45000,Pasir Penambang,Kuala Selangor,Selangor,Food & Beverage,Indoor seating,Carrier / Stroller
Route Five Cafe 五号公路咖啡馆,"77, Jalan Bagan Sungai Yu 77, Pasir Penambang, 45000 Kuala Selangor, Selangor",45000,Pasir Penambang,Kuala Selangor,Selangor,Food & Beverage,Indoor seating,Carrier / Stroller
HOME TOWN FLAVOR KITCHEN,"PT 7138, Jalan Panchang Bedena, Bagan Sungai Besar, 45300 Sungai Besar, Selangor",45300,Sungai Besar,Sabak Bernam,Selangor,Food & Beverage,Outdoor seating,None
Golden Flower Sekinchan Homestay,"43, Jalan Indah 4, Taman Indah, 45400 Sekinchan, Selangor",45300,Sekinchan,Sabak Bernam,Selangor,Pet friendly stay,,None
N.16 拾綠號,"Jalan Tali Air 4 Tanjung Karang, Tanjong Karang, Malaysia",45400,Tanjong Karang,Kuala Selangor,Selangor,Food & Beverage,Outdoor seating,None
Hay!,"3°31'35.5""N 101°08'14.0""E, 45400 Sekinchan, Selangor",45400,Sekinchan,Sabak Bernam,Selangor,Food & Beverage,Outdoor seating,None
Loong Hua Seafood Restaurant,"73, Lor 3, Pekan Sekinchan, 45400 Sekinchan, Selangor",45400,Sekinchan,Sabak Bernam,Selangor,Food & Beverage,Indoor seating,Carrier / Stroller
Wai Jia Restaurant,"Jalan Bagan, 118, Lorong 4, Taman Sekinchan Jaya, 45400 Sekinchan, Selangor",45400,Sekinchan,Sabak Bernam,Selangor,Food & Beverage,Outdoor seating,None
Restoran Sahabat Makanan Laut 友谊海鲜饭店,"35, Jalan Bagan Pasir, Bagan Pasir, 45500 Tanjong Karang, Selangor",45500,Tanjong Karang,Kuala Selangor,Selangor,Food & Beverage,Indoor seating,Carrier / Stroller
鄉景河边海鲜楼RESTORAN MAKANAN LAUT RIVERSIDE,"MY Selangor TANJONG KARANG 51,BAGAN, 45500 Tanjong Karang",45500,Tanjong Karang,Kuala Selangor,Selangor,Food & Beverage,Indoor seating,Carrier / Stroller
Sungai Janggut Seafood Restaurant,"16 batu 15, Jalan Bagan Sungai Janggut, Jeram, 45800 Jeram, Selangor",45800,Sungai Janggut,Jeram,Selangor,Food & Beverage,Indoor seating,None
Grandma Restaurant,"631/B, Jalan Tokong, Kampung Bagan Sungai Buloh, Jalan Klang - Teluk Intan, Sungai Buloh, 45800 Jeram, Selangor",45800,Jeram,Kuala Selangor,Selangor,Food & Beverage,Indoor seating,None
Janggut Riverside Rest House & Cafe,"Jalan Bagan Sungai Janggut, Kampung Sungai Janggut, 45800 Jeram, Selangor",45800,Sungai Janggut,Kuala Selangor,Selangor,Pet friendly stay,,None
Wave Rest House & Cafe,"Jalan Bagan Sungai Janggut, Kampung Sungai Janggut, 45800 Kapar, Selangor",45800,Sungai Janggut,Kuala Selangor,Selangor,Pet friendly stay,,None
1977 New Ipoh Chicken Rice 新怡保鸡饭店,"107, Jalan Gasing, Seksyen 10, 46000 Petaling Jaya, Selangor",46000,Bukit Gasing,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Masala Wheels,"4, Jalan 1/3, Seksyen 1, 46000 Petaling Jaya, Selangor",46000,Seksyen 1,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Ng Big Dumpling,"27, Jalan Pasar 1/21, 46000 Petaling Jaya, Selangor",46000,PJ Old Town,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Single Dose Coffee,"Single Dose Coffee, 1, Lorong 1/10a, Seksyen 1, 46000 Petaling Jaya, Selangor",46000,Seksyen 1,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,
Cafe 123 Gasing,"123, Jalan Gasing, Seksyen 10, 46000 Petaling Jaya, Selangor",46000,Bukit Gasing,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,Carrier / Stroller; Well-behaved pets
Ssavoury,"2, Jalan Kilang 51/206, Seksyen 51, 46050 Petaling Jaya, Selangor",46050,Seksyen 51,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,Carrier / Stroller
RAYs B.LAND,"Lot 8, B.LAND, 2, Jalan 51a/225, Seksyen 51a, 46100 Petaling Jaya, Selangor",46100,Seksyen 51a,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Simply by DaYork,"12b, Jalan 14/20, Seksyen 14, 46100 Petaling Jaya, Selangor",46100,Seksyen 14,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,Upstairs
Fluffed Cafe @ Sunway Mentari,"28, Jalan PJS 8/4, PJS 8, Sunway Mentari, 46150 Petaling Jaya, Selangor",46150,Sunway Mentari,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
宝煲 Claypot Dining,"16, Jalan PJS 8/6, Sunway Mentari, 46150 Petaling Jaya, Selangor",46150,Sunway Mentari,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,Carrier / Stroller required
Beer Garage Bandar Sunway,"No 2, Jalan PJS 11/14, Bandar Sunway, 46150 Petaling Jaya, Selangor",46150,Sunway,Sunway,Selangor,Food & Beverage,Outdoor seating,None
Xplofee,"1, Lorong PJS 7/15e, Bandar Sunway, 46150 Petaling Jaya, Selangor",46150,Sunway,Sunway,Selangor,Food & Beverage,Indoor seating,None
Sui Mak Mak Mookata,"3A (G Floor, Dataran Mentari, Jalan PJS 8/12a, Bandar Sunway, 46150 Petaling Jaya, Selangor",46150,Sunway,Sunway,Selangor,Food & Beverage,Outdoor seating,None
Yellow Bear Cafe,"Lot 100-G.041A, Ground Floor, Block J, The School @ Jaya One, 72A, Jln Profesor Diraja Ungku Aziz, Pjs 13, 46200 Petaling Jaya, Selangor",46200,Jaya One,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,None
Coffeeboy Club,"Lot 15, Coffeeboy Club, 13, Jalan 13/6, Seksyen 13, 46200 Petaling Jaya, Selangor",46200,Seksyen 13,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
HALO,"Lot 15 -3B, The Gasket Alley, 13, Jalan 13/6, Seksyen 13, 46200 Petaling Jaya, Selangor",46200,Seksyen 13,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,Pet meals available
Kings Hall Cafe,"5, Jalan 13/2, Pjs 13, 46200 Petaling Jaya, Selangor",46200,Seksyen 13,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Ah Ma Kitchen @ Jaya One,"100-P1043, Level P1, The School Jaya One, No 72A, Jalan Universiti, 46200 Petaling Jaya, Selangor",46200,Jaya One,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,None
"Kam Heong Coffee Shop , Kam Heong Braised Duck","8, Jalan Tengah, Bandar Baru Petaling Jaya, 46200 Petaling Jaya, Selangor",46200,PJ New Town,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Gatherwell Hainan Coffee @ Jaya One 聚得好海南茶,"Lot 100-G.013 Block J, The School Jaya One, Pjs 13, 46200 Petaling Jaya, Selangor",46200,Jaya One,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,None
Godubab Korean Restaurant,"100-P2.045,Block J, The School, Jaya One No.72A, Jalan Universiti Godubab Cafe Jayaone mall, P2, 46200 Petaling Jaya, Selangor",46200,Jaya One,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,None
IPPUDO Jaya One,"Jaya One, Lot G.002, The Square, 72A, Jalan Profesor Diraja Ungku Aziz, 46200 Petaling Jaya, Selangor",46200,Jaya One,Petaling Jaya,Selangor,Food & Beverage,Indoor seating; Outdoor seating,None
MeTime BookCafe,"1.010b ,Level 1, Jaya One, The square, Jalan Profesor Diraja Ungku Aziz, Seksyen 13, 46200 Petaling Jaya, Selangor",46200,Jaya One,Petaling Jaya,Selangor,Activity,Book cafe,Well behave furkids only
Ollie & Hana Puppy Nursery (Jaya One),"Lot 100-G.041A, Ground Floor Block J, The School @ Jaya One, 72A, Jln Profesor Diraja Ungku Aziz, Pjs 13, 46200 Petaling Jaya, Selangor",46200,Jaya One,Petaling Jaya,Selangor,Food & Beverage; Grooming; Playground,Indoor seating,None
Tomachi,"The Square, G.015, Jaya One, 46200 Petaling Jaya, Selangor",46200,Jaya One,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Xiao Ming KopiTiam (Jaya One PJ) 小明冰室,"31-LG1, Block C, Jaya One, Jalan Profesor Diraja Ungku Aziz, Seksyen 13, 46200 Petaling Jaya, Selangor",46200,Jaya One,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,None
YDT Dessert 苦中一点甜 (糖水铺),"10, Jalan Tengah, Bandar Baru Petaling Jaya, 46200 Petaling Jaya, Selangor",46200,PJ New Town,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,None
La Chica Mexican Grill PJ,"G.017 & G.018, The Square, Jaya One, 72A, Jln Profesor Diraja Ungku Aziz, Seksyen 13, 46200 Petaling Jaya, Selangor",46200,Jaya One,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Lammeeya at The School Jaya One Unit G21,"100-G21, The School Jaya One, 72A, Jalan Profesor Diraja Ungku Aziz, 46200 Petaling Jaya, Selangor",46200,Jaya One,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,Inside Jaya One Mall
Rockafellers Petaling Jaya - Jaya One,"G.001, The Square, Jaya One No. 72A, Jalan Prof Diraja, Jalan Profesor Diraja Ungku Aziz, 46200 Petaling Jaya, Selangor",46200,Jaya One,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Sae Ma Eul BBQ Jaya One,"Jalan Profesor Diraja Ungku Aziz, Seksyen 13, 46200 Petaling Jaya, Selangor",46200,Jaya One,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Three Stooges Jaya One,"The Square, Jaya One, 46200 Petaling Jaya, Selangor",46200,Jaya One,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Tommy Thongchai,"The Square, G.005, Jaya One, 46200 Petaling Jaya, Selangor",46200,Jaya One,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Unwind Cafe & Bistro,"100-G.003, 72A, Jln Profesor Diraja Ungku Aziz, Pjs 13, 46200 Petaling Jaya, Selangor",46200,Jaya One,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Yakitori Syokudo Yae 食堂やえ 炭焼き 酒処,"65-G, Block D, Jaya One, 72A, Jalan Profesor Diraja Ungku Aziz, Seksyen 13, 46200 Petaling Jaya, Selangor",46200,Jaya One,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
上海大大馄饨Shanghai Da Da Huntun,"Level P1, The School Jaya One, No 72A, Jalan Universiti, 46200 Petaling Jaya, Selangor",46200,Jaya One,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Du.Jour Dining & Café,"B-G-01 & B-M-01 The Hub SS2, Jalan Harapan, Seksyen 19, 46300 Petaling Jaya, Selangor",46300,Seksyen 19 / SS2 Hub,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Flakes (The Hub SS2),"B-G-06, The Hub SS2, 19 Sentral, Jalan Harapan, Seksyen 19, 46300 Petaling Jaya, Selangor",46300,Seksyen 19 / SS2 Hub,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Fluffed Cafe @ Taman Paramount,"55, Jalan 20/7, Taman Paramount, 46300 Petaling Jaya, Selangor",46300,Taman Paramount,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Hua Xin Dessert,"L1 - 04, Level 1, New Ocean World Fine Food City, 15, Jalan 19/1, Seksyen 19, 46300 Petaling Jaya, Selangor",46300,Seksyen 19,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
270sqft,"27, Jalan 21/1, Sea Park, 46300 Petaling Jaya, Selangor",46300,Sea Park,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,Reservations required
Awegallery,"21, Jalan 20/13, Taman Paramount, 46300 Petaling Jaya, Selangor",46300,Taman Paramount,Petaling Jaya,Selangor,Event space,,None
Awesome Canteen,"19, Jalan 20/13, Taman Paramount, 46300 Petaling Jaya, Selangor",46300,Taman Paramount,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,Reservations required
Half & Hāfu,"Lot B-1-05, First Floor, The Hub SS2 Retail Office, 19 Sentral, Jalan Harapan, Seksyen 19",46300,Seksyen 19 / SS2 Hub,Petaling Jaya,Selangor,Activity,Hair salon; Coffee bar,Upstairs
JioSpace,"Lot 1, Jalan 19/1b, Seksyen 19, 46300 Petaling Jaya, Selangor",46300,Seksyen 19 / JioSpace,Petaling Jaya,Selangor,Event space,,None
Konnichiwa The Hub SS2,"B-G-03A, Jalan Harapan, Seksyen 19, 46300 Petaling Jaya, Selangor",46300,Seksyen 19 / SS2 Hub,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Kooky Cream @ The Hub SS2,"Lot A-G-02 The Hub SS2 19 Sentral, Jalan Harapan, Seksyen 19, 46300 Petaling Jaya, Selangor",46300,Seksyen 19 / SS2 Hub,Petaling Jaya,Selangor,Food & Beverage,Outdoor seating,None
Taiwanese House 臺式老屋 @ PJ Taman Paramount,"41, Jalan 20/7, Taman Paramount, 46300 Petaling Jaya, Selangor",46300,Taman Paramount,Petaling Jaya,Selangor,Food & Beverage,Indoor seating,None
